video_id,title,published_date,view_count,hms_format
otaBlTOldAE,I Tried NEW Opus 4.7 vs Opus 4.6 on Long-Running Coding Task,2026-04-17,8562,0:19:56
bDrqIFwy4VQ,I Tried CodeBurn: Where My Tokens Go in Claude Code / Codex?,2026-04-15,4040,0:07:23
sIlNdfH_Uhg,I (Re-)Tested Opus 4.6 vs Opus 4.5: Is Quality Degradation Real?,2026-04-13,5138,0:11:25
rLNLa2dcjG8,"I Tried ""grill-me"" Skill for Plan Mode. Wow.",2026-04-12,19460,0:11:13
xrnCnw869so,"I Tried Superpowers Plugin: ""Advanced"" Plan Mode in Claude Code",2026-04-09,4822,0:10:56
lxXLyTt82kc,I Tried NEW GLM-5.1 on a Longer Task (compared to Opus 4.6),2026-04-08,15391,0:13:21
iy-T-16nIOY,I Tried NEW /ultraplan in Claude Code,2026-04-06,7148,0:05:49
OBhL6V_BK-k,I Tried NEW Cursor 3: They (try to) Change The Game,2026-04-03,10565,0:18:30
Tp0wZIUjtUg,NEW Official OpenAI Codex Plugin for Claude Code,2026-04-01,2780,0:08:01
yQ1OlMmN-ZU,I Built a Mini-CRM with Codex GPT-5.4: Lessons Learned,2026-03-31,2144,0:12:49
lleyHrcp1is,I Asked Codex to Review Claude Code's Code. And Vice Versa.,2026-03-29,5107,0:06:33
oPMboSRW014,I Tried NEW Minimax M2.7 (Old M2.5 Evals Were Pretty Bad...),2026-03-27,2577,0:10:21
UAQsHwNHfcw,NEW Claude Code Organizer: Manage Skills/MCPs/Context in Global/Project Scope,2026-03-26,2425,0:06:20
PDrm3Afuejg,I Tried Security Audit Code Review Skills/Prompts in Claude Code,2026-03-24,3159,0:08:31
mYcauKtzcB8,I Tried NEW GPT-5.4 Design Skill vs Opus and Gemini (Tested on 4 Prompts),2026-03-23,3382,0:15:22
BmPbm_lNYqE,I Tried NEW Cursor Composer 2 (Fast) vs Opus and Codex,2026-03-20,5649,0:10:28
cSvI4EXTFvo,Claude Code / Codex Gave Me 10+ Ideas For My Projects,2026-03-19,1956,0:10:42
e1dgXJ-Cq-g,"Fixing Bugs with AI Agents: ""The Right Way""",2026-03-17,3389,0:05:58
KLuxus4uB3Q,I Tried to Use the NEW 1M Context Window in Opus 4.6,2026-03-15,3997,0:10:45
nNzZha3KcCI,Stop Trusting AI-Generated Tests Blindly: My Examples,2026-03-14,1733,0:05:27
-7gx1i5_ymw,New /btw in Claude Code: Quick 1-minute Demo,2026-03-13,865,0:01:23
5MvCoNgXGvs,I Tried NEW /voice in Claude Code vs Wispr Flow: Which is More Accurate?,2026-03-12,9937,0:04:33
NsWWW-yHypc,AI Made 10x Engineers Obsolete? My Reaction (Here's How You Should Think),2026-03-11,1603,0:09:17
H9tzE46pwAI,"I Tried Codex App (GPT-5.4) to Build a Telegram Bot: Is it ""Usable""?",2026-03-10,2294,0:10:35
UuXF22EQTCU,NEW Instruckt: Visual Annotations for Claude Code and Other AI Agents,2026-03-08,3494,0:05:26
7C7FASc_qVs,I Tried New GPT-5.4 vs GPT-5.3-Codex: Is It Better?,2026-03-06,15682,0:17:22
ceD2Ywq7d0M,NEW Polyscope: Run Many Agents on Many Projects (Claude Code / Codex),2026-03-05,2387,0:05:46
0_-Ld5vtw8M,I Tried a NEW Claude Code /simplify Command to Improve Code,2026-03-01,23722,0:07:41
tdKDHLgQCgY,NEW Visual Explainer Skill: HTML Plans/Summaries (Claude Code Example),2026-02-28,6635,0:07:02
epzwvCJek1Y,NEW in Claude Code: Git Worktrees - WHEN You Would Use Them?,2026-02-26,6045,0:10:27
AREft9zTm6Q,I Tried Deleting CLAUDE.md. Here's What Happened.,2026-02-25,4096,0:15:11
kTvy8TY_JMc,Prompt to Automate Some CLAUDE.md Rules #claudecode,2026-02-23,1744,0:01:47
G45G1VYDQNY,I Tried Gemini 3.1 Pro in Google Antigravity,2026-02-20,6700,0:11:06
VG-hgISb144,Website Owners Will/Should Serve AI Agents Differently?,2026-02-19,649,0:01:59
DMODAHQyUbM,Claude Code: Change Model While Writing Prompt? #claudecode,2026-02-19,4239,0:00:43
dThh2V7B9OQ,"I Tested New Sonnet 4.6 vs Opus 4.6: Speed, Token Usage, Code Quality",2026-02-18,20549,0:12:35
fyyf2aDcmBo,Two AI Prompts to Quickly Understand Old Codebase,2026-02-16,1654,0:05:56
cG2saB8hpxg,Two BIG Problems with Skills in Claude Code (My Way of Using Them),2026-02-15,1554,0:12:38
ZtGsolP4CwQ,I Tried New Minimax M2.5 (and realized smth about ALL frontier LLMs),2026-02-13,4553,0:12:29
4VqlpKCOeek,I Tested New GLM-5 vs Opus and Sonnet. Wow.,2026-02-12,18308,0:09:49
WU3AIyEHPUY,"Claude Code: 5 New ""Minor"" Features You May Have Missed",2026-02-10,1401,0:06:31
vPZOOMdRnwc,Will I Switch to Codex from Claude Code?,2026-02-09,3747,0:05:48
CzS4Td7i2t0,I Tested Opus 4.6 vs GPT-5.3-Codex on Two Projects (Will I Switch?),2026-02-06,12840,0:16:30
3sxny9vXquM,NEW Codex App: Work on Multiple Projects/Prompts in One UI,2026-02-05,2601,0:07:50
xBHnHBTOktI,NEW Claude Code Playgrounds: Interactive Pages to Help Your Plans,2026-02-04,5360,0:05:47
cAJxt0rUOMY,We Need to Review AI-Written Code Differently Now,2026-01-31,3331,0:04:32
b0HVbEleHKw,2 Tips to Save Context Space in Claude Code,2026-01-28,1903,0:04:58
I4-CehCtLb0,How to Debug External MCP Problems (My Real Story),2026-01-27,559,0:05:12
OuFeT3Dp_nw,NEW in Claude Code: Tasks List - Not Just a Visual Change,2026-01-26,5583,0:07:50
