id,name,full_name,sector,subsector,market,website,created_at,updated_at
667,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET100,www.ace-energy.co.th,2019-11-19 07:13:52.123345,2020-07-06 13:23:58.374272
668,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property & Construction,Property Development,SET50 / SETTHSI,https://www.assetworldcorp-th.com,2019-11-19 07:13:52.454317,2022-01-15 03:54:48.241937
670,DOHOME,DOHOME PUBLIC COMPANY LIMITED,Services,Commerce,SET100 / SETWB,https://www.dohome.co.th/,2019-11-19 07:13:52.829821,2021-01-26 15:42:35.121274
672,RBF,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET100 / SETCLMV / SETWB,https://www.rbfoodsupply.co.th,2019-11-19 07:13:53.815666,2021-01-26 15:42:35.386375
674,SPRIME,S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property & Construction,Property Fund & REITs,SET,No url,2019-11-19 07:13:54.119325,2020-07-06 13:23:59.952699
675,SUPEREIF,SUPER ENERGY POWER PLANT INFRASTRUCTURE FUND,Resources,Energy & Utilities,SET,www.supereif.com,2019-11-19 07:13:54.171187,2022-01-15 03:54:48.533746
676,TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,SET,,2019-11-19 07:13:54.451471,2019-11-19 07:13:54.451471
677,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,Services,Commerce,SET50 / SETCLMV / SETTHSI / SETWB,https://www.centralretail.com/,2020-02-21 03:33:53.168573,2022-01-15 03:54:48.305183
680,BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET100,www.bam.co.th,2021-01-26 15:42:34.999393,2021-07-07 03:33:38.843181
684,SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,Industrials,Packaging,SET50 / SETCLMV / SETTHSI,www.scgpackaging.com,2021-01-26 15:42:35.427465,2022-01-15 03:54:48.493941
685,STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,Consumer Products,Personal Products & Pharmaceuticals,SET100 / SETTHSI,www.sritranggloves.com,2021-01-26 15:42:35.495040,2022-01-15 03:54:48.530396
686,OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,SET50 / SETCLMV,www.pttor.com,2021-02-12 02:30:42.954101,2022-01-15 03:54:48.439420
689,TIF1,THAI INDUSTRIAL FUND 1,Property & Construction,Property Fund & REITs,SET,,2021-02-21 15:10:54.478815,2021-02-21 15:10:54.478815
690,AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET,www.asianinsulators.com,2021-02-21 16:05:03.409984,2021-02-21 16:05:03.409984
691,AIE,AI ENERGY PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET,www.aienergy.co.th,2021-02-21 16:13:03.672281,2022-01-15 03:54:48.215928
693,RT,RIGHT TUNNELLING PUBLIC COMPANY LIMITED,Property & Construction,Construction Services,SET,No url,2021-03-30 03:06:20.096734,2021-03-30 03:06:20.096734
695,MBAX,MULTIBAX PUBLIC COMPANY LIMITED,Industrial,Industrial,mai,www.multibax.com,2017-07-23 06:31:24.517698,2022-01-15 03:54:48.419041
696,TIDLOR,NGERN TID LOR PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET50,www.ngerntidlor.com/th/home.html,2021-05-10 23:20:28.115721,2022-01-15 03:54:48.551252
697,EP,EASTERN POWER GROUP PUBLIC COMPANY LIMITED,Resources,Energy & Utilities,sSET,www.epco.co.th,2021-06-03 02:53:59.706398,2021-06-03 02:53:59.706398
699,TQR,TQR PUBLIC COMPANY LIMITED,Financials,Financials,mai,https://www.tqr.co.th,2021-06-03 02:57:53.392111,2022-01-15 03:54:48.574694
700,SABUY,SABUY TECHNOLOGY PUBLIC COMPANY LIMITED,Services,Commerce,SET,www.sabuytechnology.com,2021-06-03 02:58:40.318755,2022-01-15 03:54:48.483435
701,LPF,LOTUS'S RETAIL GROWTH FREEHOLD AND LEASEHOLD PROPERTY FUND,Property & Construction,Property Fund & REITs,SET,,2021-07-07 03:33:39.022568,2021-07-07 03:33:39.022568
702,ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,Services,Commerce,sSET,www.indexlivingmall.com,2021-08-07 15:07:36.278125,2021-08-07 15:07:36.278125
703,VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED,Property & Construction,Construction Materials,sSET / SETCLMV,www.vanachai.com,2021-08-14 06:09:40.594032,2022-01-15 03:54:48.599061
704,2S,2S METAL PUBLIC COMPANY LIMITED,Industrials,Steel and Metal Products,SET,www.ss.co.th,2021-08-22 15:12:52.288880,2021-08-22 15:12:52.288880
705,ASW,ASSETWISE PUBLIC COMPANY LIMITED,Property & Construction,Property Development,sSET,www.assetwise.co.th,2021-08-22 15:12:52.296927,2022-01-15 03:54:48.239827
706,BCT,BIRLA CARBON (THAILAND) PUBLIC COMPANY LIMITED,Industrials,Petrochemicals & Chemicals,SET,www.birlacarbon.com,2021-08-22 15:12:52.300533,2021-08-22 15:12:52.300533
707,IMH,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED,Services,Services,mai,www.intermedthai.com/,2021-08-22 15:12:52.303160,2022-01-15 03:54:48.372913
708,SFLEX,STARFLEX PUBLIC COMPANY LIMITED,Industrials,Packaging,sSET,www.starflex.co.th,2021-08-22 15:12:52.306051,2021-08-22 15:12:52.306051
709,AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,sSET / SETTHSI,www.aavplc.com,2021-08-29 06:32:10.450906,2022-01-15 03:54:48.204869
710,NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,Agro & Food Industry,Food & Beverage,SET,https://www.nrinstant.com/,2021-08-29 06:32:10.461477,2022-01-15 03:54:48.436055
711,PSL,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,SET100,www.preciousshipping.com,2021-08-29 06:32:10.465249,2022-01-15 03:54:48.462830
713,IP,INTER PHARMA PUBLIC COMPANY LIMITED,Consumer Products,Consumer Products,mai,www.interpharma.co.th,2021-10-25 15:08:35.006030,2021-10-25 15:08:35.006030
714,TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.",Industrials,Steel and Metal Products,SET,www.tycons.com,2021-11-04 15:13:55.164789,2021-11-04 15:13:55.164789
715,INSET,INFRASET PUBLIC COMPANY LIMITED,Technology,Technology,mai,www.infraset.co.th,2021-11-27 02:53:02.069805,2021-11-27 02:53:02.069805
716,UOBKH,UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,Financials,Finance & Securities,SET,https://www.utrade.co.th/,2021-11-27 03:27:14.481201,2021-11-27 03:27:14.481201
717,KEX,KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED,Services,Transportation & Logistics,SET100 / SETTHSI / SETWB,https://th.kerryexpress.com/th/home,2022-01-15 04:28:34.791314,2022-01-15 04:28:34.791314
