name,date,price,change,%change,open,high,low,volume,value(m)
BH,2026-08-14,195.0,5.0,2.631579,192.0,197.5,191.5,9918227,1936780.2525
BJC,2026-08-14,15.3,-0.7,-4.375,15.9,16.0,15.2,16684177,258844.21159999998
BLA,2026-08-14,24.2,-0.5,-2.024291,24.8,24.9,24.0,2229328,54432.8025
BLAND,2026-08-14,0.56,0.0,0.0,0.57,0.58,0.56,32797429,18665.30482
BTS,2026-08-14,2.08,-0.02,-0.952381,2.1,2.1,2.06,34352030,71378.39942
BTSGIF,2026-08-14,2.44,0.0,0.0,2.42,2.44,2.42,2408319,5835.628360000001
CBG,2026-08-14,55.0,2.5,4.761905,53.5,55.5,53.25,21450275,1170255.798
CENTEL,2026-08-14,42.0,-1.25,-2.890173,43.5,43.5,41.5,4771512,200904.4415
CHG,2026-08-14,1.59,-0.02,-1.242236,1.61,1.64,1.57,45035201,72444.79329
CK,2026-08-14,18.0,0.0,0.0,18.0,18.2,18.0,5423516,98048.6603
CKP,2026-08-14,2.5,-0.02,-0.793651,2.5,2.52,2.48,4966017,12408.30938
COM7,2026-08-14,29.0,-1.0,-3.333333,29.75,29.75,28.75,12579053,364904.45125
CPALL,2026-08-14,47.0,-1.75,-3.589744,48.75,48.75,47.0,39733333,1893128.814
CPF,2026-08-14,21.8,-0.1,-0.456621,21.8,22.0,21.8,13327829,291434.68439999997
CPN,2026-08-14,66.5,0.5,0.757576,65.75,67.25,65.25,10223373,678419.9705
CPNCG,2026-08-14,5.45,0.0,0.0,5.4,5.45,5.4,911990,4943.09395
CPNREIT,2026-08-14,13.6,0.0,0.0,13.7,13.8,13.5,4482889,61118.505
CRC,2026-08-14,25.75,-0.5,-1.904762,26.25,26.5,25.5,18402189,475481.48475
DELTA,2026-08-14,270.0,2.0,0.746269,271.0,274.0,267.0,12975310,3515009.144
DIF,2026-08-14,10.2,0.0,0.0,10.2,10.3,10.1,20709907,211340.766
DOHOME,2026-08-14,3.72,-0.06,-1.587302,3.8,3.82,3.7,18968645,71215.29368
EA,2026-08-14,2.88,-0.06,-2.040816,2.86,2.92,2.86,48062659,138841.64058
EGATIF,2026-08-14,6.15,-0.05,-0.806452,6.2,6.2,6.15,390511,2408.7182000000003
EGCO,2026-08-14,130.5,-2.5,-1.879699,132.5,133.0,130.5,1378732,181143.3495
EPG,2026-08-14,6.0,-0.15,-2.439024,6.1,6.1,5.9,20681211,124076.03275
FORTH,2026-08-14,16.7,0.0,0.0,16.7,17.1,16.4,7120596,119152.1177
GFPT,2026-08-14,9.5,-0.2,-2.061856,9.7,9.85,9.5,7590096,73412.84204999999
GLOBAL,2026-08-14,7.3,-0.25,-3.311258,7.5,7.5,7.2,19335887,141689.7281
GPSC,2026-08-14,48.25,-1.75,-3.5,49.75,49.75,48.25,16559333,805451.06225
GULF,2026-08-14,64.5,-0.5,-0.769231,65.0,65.25,64.25,39927229,2583890.213
