song_title_db,artist_name_db,youtube_code
Eleanor Rigby,Beatles The,HuS5NuXRb5Y
I Saw Her Standing There,Beatles The,oxwAB3SECtc
A Hard Day’s Night,Beatles The,AMSiHdrHl0g
Please Please Me,Beatles The,czw8eqepir8
Come Together,Beatles The,45cYwDMibGo
Something,Beatles The,UelDrZ1aFeY
With a Little Help From My Friends,Beatles The,0C58ttB2-Qg
All You Need is Love,Beatles The,vAJRBIHkQFs
Ticket to Ride,Beatles The,VMxyK9azXR4
Penny Lane,Beatles The,S-rB0pHI9fU
Rain,Beatles The,cK5G8fPmWeA
Can’t Buy Me Love,Beatles The,TBSpmoA8V78
Jumpin’ Jack Flash,Rolling Stones The,DARZS3ipWoI
Paint it Black,Rolling Stones The,nVrdXUHvsF0
Street Fighting Man,Rolling Stones The,BUt0dZXPFoU
Ruby Tuesday,Rolling Stones The,ADtnUC_ctNk
Tumbling Dice,Rolling Stones The,J1EWf6O77jE
Beast of Burden,Rolling Stones The,8On3UiBOTdQ
Brown Sugar,Rolling Stones The,Fmfi3UbDPnQ
Miss You,Rolling Stones The,KuRxXRuAz-I
Kashmir,Led Zeppelin ,tzVJPgCn-Z8
I Can See For Miles,Who The,kb5mRBMZbYo
Black Dog,Led Zeppelin ,yBuub4Xe1mw
Heartbreaker,Led Zeppelin ,EUFGJvYlPFk
Drive,Cars The,DrgSzcctUyY
I Can’t Explain,Who The,Wf0d2Rx52wI
Ramble On,Led Zeppelin ,DW5ZLyY9w0Y
It’s A Man’s Man’s Man’s World,James Brown,wd1-HM234DE
With or Without You,U2 ,oNvWDP_GkiY
"Please, Please, Please",James Brown and His Famous Flames ,o4w454Lape8
Purple Rain,Prince and the Revolution ,S6Y1gohk5-A
Foxey Lady,Jimi Hendrix Experience The,_PVjcIO4MT4
Rave On,Buddy Holly and the Crickets ,04E24MKU3yU
Proud Mary,Creedence Clearwater Revival ,UUA-3WHCqbM
Moment of Surrender,U2 ,-k18rlUe_nc
Folsom Prison Blues,Johnny Cash,_Xyp63MaSBs
I Can’t Stop Loving You,Ray Charles,r_7iRVtxui8
Don’t Worry Baby,Beach Boys The,lW0YGC68qP4
Desolation Row,Bob Dylan,hUvcWXTIjcU
Who’ll Stop the Rain,Creedence Clearwater Revival ,JNrsJNtd_bc
Knockin’ on Heaven’s Door,Bob Dylan,rm9coqlk8fY
Peggy Sue,Buddy Holly,QzDzt9lGwhM
Don’t Be Cruel,Elvis Presley,ViMF510wqWA
Rock & Roll Music,Chuck  Berry,k_F1mmC3Nhg
Cathy’s Clown,Everly Brothers The,PXvKAWiU_cQ
Let’s Get It On,Marvin Gaye,x6QZn9xiuOE
Save the Last Dance for Me,Drifters The,QFoBreVWa7M
There Goes My Baby,Drifters The,i3HXy9mGPpI
Tapestry,Carole King,GJ-lGU5TTKc
You've got a friend,Carole King,Hnu53l7brEE
Will You Still Love Me Tomorrow,Carole King,-Xzymu-e-jk
Tragedy,Bee Gees ,SPcsMMEMbfw
Reunited,Peaches and Herb ,26J0uDIGErM
The Logical Song,Supertramp ,fBoYZqmcZuc
Carry On,"Crosby, Stills, Nash and Young ",nP0VBB7BO64
Teach Your Children,"Crosby, Stills, Nash and Young ",EkaKwXddT_I
Helpless,"Crosby, Stills, Nash and Young ",6FUsj-btBIk
Woodstock,"Crosby, Stills, Nash and Young ",HKdsRWhyH30
Our House,"Crosby, Stills, Nash and Young ",rrW7Mc3_wSc
Suite: Judy Blue Eyes,"Crosby, Stills & Nash ",rDEiLImUUM8
Last Train to London,Electric Light Orchestra ,qXXZMebT3m8
Sundown,Gordon Lightfoot,s8rR7E6NfY4
Slip Slidin' Away,Paul Simon,5_H-LY4Jb2M
You're In My Heart,Rod Stewart,O-xHOR8_ZSU
Wonderful Tonight,Eric Clapton,vUSzL2leaFM
My Cherie Amour,Stevie Wonder,b0Gu-CyE-NQ
Sir Duke,Stevie Wonder,s6fPN5aQVDI
Barracuda,Heart ,s4nWy8pmIM4
The Great Pretender,Platters The,rwfmbXJEBtY
Still Crazy After All These Years,Paul Simon,Ksa4VjKE3RY
November Rain,Guns n’ Roses ,8SbUC-UaAxE
Walk This Way,Aerosmith ,5UFFa1HbFfA
Runnin With The Devil,Van Halen ,Bl4dEAtxo0M
Ace Of Spades,Motorhead ,vcf7DnHi54g
Breaking The Law,Judas Priest ,XPhPbTbjYM0
Photograph,Deff Leppard ,nUW5nyM1O5o
Run To The Hills,Iron Maiden ,geHLdg_VNww
Dr. Feelgood,Motley Crue ,QhTecyrvRXk
Rock And Roll All Nite,Kiss ,o8mzIyIOdm0
Fame,Irene Cara,o2jh7N7Fldk
On the Radio,Donna Summer,EIl0UEwMnCA
Smooth Operator,Sade ,4TYv2PhG89A
I Wanna Rock,Twisted Sister ,SRwrg0db_zY
Blurred Lines,Robin Thicke,zwT6DZCQi9k
Believe,Cher ,4p0chD8U8fA
I Will Always Love You,Whitney Houston,3JWTaaS7LdU
(Everything I Do) I Do It For You,Bryan Adams,La0IJPt0t4Q
Happy,Pharrell Williams,y6Sxv-sUYtM
Uptown Funk!,Mark Ronson,OPf0YbXqDm0
I Gotta Feeling,Black Eyed Peas ,SPjrXbSSGOQ
Gangsta's Paradise,Coolio ,cpGbzYlnz7c
I'll Be Missing You,Puff Daddy & Faith Evans ,tJalXjMXqhc
Waiting for a Girl Like You,Foreigner ,20qVro3bcJI
The Power of Love,Celine Dion,Y8HOfcYWZoo
All By Myself,Celine Dion,NGrLb6W5YOM
I'm Alive,Celine Dion,NJsa6-y4sDs
My Heart Will Go On,Celine Dion,9bFHsd3o1w0
Because You Loved Me,Celine Dion,fpl4if07ics
It Must Have Been Love,Roxette ,hHe_e7MpCTQ
Listen to Your Heart,Roxette ,01VrpOfPdw4
Flashdance,Irene Cara,GelOkOzQ9cw
Somebody That I Used To Know,Gotye ,8UVNT4wvIGY
Wake Me Up,Avicii ,5s2hEo1DtY0
Tonight’s the Night,Shirelles The,wzCDwGw6tdA
Eruption,Van Halen ,sI7XiJgt0vY
Cowgirl in the Sand,Neil Young,ml76AxtO0kE
Black Sabbath,Black Sabbath ,X3c3gsjgdXA
Guilty,Barbra Streisand,LyxlmF71_qI
Woman in Love,Dana Winner,aKQGARYH1j0
Run Wild,Barbra Streisand,9KJaP9PJZSQ
September,"Earth, Wind and Fire ",ter0p_iyIxk
Bad Girls,Donna Summer,HzxW4eu9heY
Roxanne,Police The,WXzFCS72QIA
One Love / People Get Ready,Bob Marley and the Wailers ,vdB-8eLEW8g
How Will I Know,Whitney Houston,FqAGSKQn0VM
Cotton Fields,Creedence Clearwater Revival ,C4zPEmRufMU
Suzie Q,Creedence Clearwater Revival ,1mxaA-bJ35s
Have You Ever Seen the Rain,Creedence Clearwater Revival ,u1V8YRJnr4Q
Fire and Rain,James Taylor,EbD7lfrsY2s
You've Got a Friend,James Taylor,3WJ1cf3nrLE
