artist,title,date,type,filename,duration_seconds,duration_minutes
Jessie J,Bang Bang,2026-11-01,L,Bang Bang_Jessie J .mp4,262.25,4.370833333333334
Heart,Barracuda,2026-11-01,L,Barracuda_Heart .mp4,335.75,5.595833333333333
Michael Jackson,Beat It,2026-11-01,L,Beat It_Michael Jackson.mp4,298.71,4.9784999999999995
Kelly Clarkson,Because Of You,2026-11-01,L,Because Of You_Kelly Clarkson.mp4,223.46,3.7243333333333335
Anonymous Singer,Because You Loved Me,2026-11-01,L,Because You Loved Me_Anonymous Singer.mp4,355.04,5.917333333333334
Celine Dion,Because You Loved Me,2026-11-01,L,Because You Loved Me_Celine Dion.mp4,277.08,4.617999999999999
Lewis Capaldi,Before You Go,2026-11-01,L,Before You Go_Lewis Capaldi.mp4,246.38,4.106333333333334
Imagine Dragons,Believer,2026-11-01,L,Believer_Imagine Dragons .mp4,216.57999999999998,3.6096666666666666
Elton John,Bennie and the Jets,2026-11-01,L,Bennie and the Jets_Elton John.mp4,348.75,5.8125
Fergie,Big Girls Don't Cry,2026-11-01,L,Big Girls Don't Cry_Fergie .mp4,307.13,5.118833333333333
Michael Jackson,Billie Jean,2026-11-01,L,Billie Jean_Michael Jackson.mp4,295.92,4.932
Billie Eilish,BIRDS OF A FEATHER,2026-11-01,L,BIRDS OF A FEATHER_Billie Eilish.mp4,211.13,3.5188333333333333
Verve The,Bitter Sweet Symphony,2026-11-01,L,Bitter Sweet Symphony_Verve The.mp4,275.58,4.593
Iggy Azalea,Black Widow,2026-11-01,L,Black Widow_Iggy Azalea.mp4,330.17,5.502833333333333
Taylor Swift,Blank Space,2026-11-01,L,Blank Space_Taylor Swift.mp4,272.54,4.542333333333334
Leona Lewis,Bleeding Love,2026-11-01,L,Bleeding Love_Leona Lewis.mp4,279.04,4.650666666666667
Bob Dylan,Blowin' in the Wind,2026-11-01,L,Blowin' in the Wind_Bob Dylan.mp4,169.13,2.818833333333333
Queen,Bohemian Rhapsody,2026-11-01,L,Bohemian Rhapsody_Queen .mp4,359.67,5.9945
Joni Mitchell,Both Sides Now,2026-11-01,L,Both Sides Now_Joni Mitchell.mp4,329.33,5.488833333333333
Simon and Garfunkel,Bridge over Troubled Water,2026-11-01,L,Bridge over Troubled Water_Simon and Garfunkel .mp4,280.29,4.6715
Mamas and The Papas The,California Dreamin',2026-11-01,L,California Dreamin'_Mamas and The Papas The.mp4,157.54,2.6256666666666666
Kylie Minogue,Can't Get You Out of My Head,2026-11-01,L,Can't Get You Out of My Head_Kylie Minogue.mp4,230.82999999999998,3.8471666666666664
Elton John,Candle in the Wind,2026-11-01,L,Candle in the Wind_Elton John.mp4,237.63,3.9605
Taylor Swift,cardigan,2026-11-01,L,cardigan_Taylor Swift.mp4,240.13,4.002166666666667
George Michael,Careless Whisper,2026-11-01,L,Careless Whisper_George Michael.mp4,300.79,5.013166666666667
Harry Chapin,Cat's In The Cradle,2026-11-01,L,Cat's In The Cradle_Harry Chapin.mp4,225.25,3.754166666666667
Ma Jiantao,Chan Fu (CN),2026-11-01,L,Chan Fu (CN)_Ma Jiantao.mp4,331.5,5.525
Freddie Aguilar,Child (PH),2026-11-01,L,Child (PH)_Freddie Aguilar.mp4,234.17000000000002,3.9028333333333336
Deep Purple,Child in Time,2026-11-01,L,Child in Time_Deep Purple .mp4,615.54,10.258999999999999
Coldplay,Clocks,2026-11-01,L,Clocks_Coldplay .mp4,255.96,4.266
The Chainsmokers,Closer,2026-11-01,L,Closer_The Chainsmokers.mp4,246.98,4.116333333333333
Elton John,Cold Heart,2026-11-01,L,Cold Heart_Elton John.mp4,254.25,4.2375
Beatles The,Come Together,2026-11-01,L,Come Together_Beatles The.mp4,258.21,4.3035
Roger Waters,Comfortably Numb,2026-11-01,L,Comfortably Numb_Roger Waters.mp4,492.46,8.207666666666666
Avril Lavigne,Complicated,2026-11-01,L,Complicated_Avril Lavigne.mp4,253.46,4.224333333333333
Creedence Clearwater Revival,Cotton Fields,2026-11-01,L,Cotton Fields_Creedence Clearwater Revival .mp4,178.38,2.973
OneRepublic,Counting Stars,2026-11-01,L,Counting Stars_OneRepublic .mp4,283.21,4.720166666666667
Patsy Cline,Crazy,2026-11-01,L,Crazy_Patsy Cline.mp4,167.32999999999998,2.7888333333333333
Roy Orbison,Crying,2026-11-01,L,Crying_Roy Orbison.mp4,182.46,3.041
Abba,Dancing Queen,2026-11-01,L,Dancing Queen_Abba .mp4,232.96,3.8826666666666667
Elton John,Daniel,2026-11-01,L,Daniel_Elton John.mp4,214.54,3.5756666666666663
Eagles The,Desperado,2026-11-01,L,Desperado_Eagles The.mp4,211.32999999999998,3.5221666666666662
Rihanna,Diamonds,2026-11-01,L,Diamonds_Rihanna .mp4,283.0,4.716666666666667
Bread,Diary,2026-11-01,L,Diary_Bread .mp4,188.42,3.140333333333333
Steely Dan,Do It Again,2026-11-01,L,Do It Again_Steely Dan.mp4,355.57,5.926166666666666
Culture Club,Do You Really Want To Hurt Me,2026-11-01,L,Do You Really Want To Hurt Me_Culture Club .mp4,269.54,4.492333333333334
Norah Jones,Don't Know Why,2026-11-01,L,Don't Know Why_Norah Jones.mp4,183.0,3.05
Britney Spears,Don't Let Me Be The Last To Know,2026-11-01,L,Don't Let Me Be The Last To Know_Britney Spears.mp4,230.87,3.8478333333333334
Beatles The,Don't Let Me Down,2026-11-01,L,Don't Let Me Down_Beatles The.mp4,211.32999999999998,3.5221666666666662
Dua Lipa,Don't Start Now,2026-11-01,L,Don't Start Now_Dua Lipa.mp4,181.25,3.0208333333333335
Journey,Don't Stop Believin',2026-11-01,L,Don't Stop Believin'_Journey .mp4,251.67,4.1945
Bobby McFerrin,Don't Worry Be Happy,2026-11-01,L,Don't Worry Be Happy_Bobby McFerrin.mp4,231.79,3.8631666666666664
Elton John,Don’t Let the Sun Go Down on Me,2026-11-01,L,Don’t Let the Sun Go Down on Me_Elton John.mp4,346.75,5.779166666666667
Aerosmith,Dream On,2026-11-01,L,Dream On_Aerosmith .mp4,283.13,4.718833333333333
Cranberries The,Dreams,2026-11-01,L,Dreams_Cranberries The.mp4,253.33,4.222166666666667
Fleetwood Mac,Dreams,2026-11-01,L,Dreams_Fleetwood Mac .mp4,254.83,4.247166666666667
Olivia Rodrigo,drivers license,2026-11-01,L,drivers license_Olivia Rodrigo.mp4,247.17,4.1194999999999995
Cars The,Drive,2026-11-01,L,Drive_Cars The.mp4,234.3,3.9050000000000002
Olivia Rodrigo,drop dead,2026-11-01,L,drop dead_Olivia Rodrigo.mp4,250.33,4.172166666666667
Kansas,Dust in the Wind,2026-11-01,L,Dust in the Wind_Kansas.mp4,199.7,3.328333333333333
Adele,Easy On Me,2026-11-01,L,Easy On Me_Adele .mp4,227.71,3.795166666666667
JAY-Z,Empire State Of Mind,2026-11-01,L,Empire State Of Mind_JAY-Z.mp4,281.88,4.6979999999999995
Boyz II Men,End Of The Road,2026-11-01,L,End Of The Road_Boyz II Men .mp4,254.71,4.245166666666667
X Japan,Endless Rain,2026-11-01,L,Endless Rain_X Japan .mp4,421.54,7.025666666666667
Metallica,Enter Sandman,2026-11-01,L,Enter Sandman_Metallica .mp4,332.33,5.538833333333333
The Bangles,Eternal Flame,2026-11-01,L,Eternal Flame_The Bangles.mp4,246.71,4.111833333333333
Cliff Richard,Evergreen Tree,2026-11-01,L,Evergreen Tree_Cliff Richard.mp4,161.13,2.6854999999999998
Police The,Every Breath You Take,2026-11-01,L,Every Breath You Take_Police The.mp4,229.0,3.816666666666667
Wishbone Ash,Everybody Needs A Friend,2026-11-01,L,Everybody Needs A Friend_Wishbone Ash .mp4,502.5,8.375
Bread,Everything I Own,2026-11-01,L,Everything I Own_Bread .mp4,188.08,3.134666666666667
Alan Walker,Faded,2026-11-01,L,Faded_Alan Walker.mp4,212.88,3.548
Mary J.Blige,Family Affair,2026-11-01,L,Family Affair_Mary J.Blige.mp4,224.57999999999998,3.743
Tracy Chapman,Fast Car,2026-11-01,L,Fast Car_Tracy Chapman.mp4,296.67,4.944500000000001
James Taylor,Fire and Rain,2026-11-01,L,Fire and Rain_James Taylor.mp4,204.63,3.4105
Katy Perry,Firework,2026-11-01,L,Firework_Katy Perry.mp4,233.42000000000002,3.8903333333333334
Miley Cyrus,Flowers,2026-11-01,L,Flowers_Miley Cyrus.mp4,193.71,3.2285
UNDRESSD,Forever Young,2026-11-01,L,Forever Young_UNDRESSD .mp4,202.0,3.3666666666666667
Creedence Clearwater Revival,Fortunate Son,2026-11-01,L,Fortunate Son_Creedence Clearwater Revival .mp4,137.13,2.2855
Neil Young,Four Strong Winds,2026-11-01,L,Four Strong Winds_Neil Young.mp4,245.9,4.098333333333334
Christina Aguilera,Genie In A Bottle,2026-11-01,L,Genie In A Bottle_Christina Aguilera.mp4,216.29,3.604833333333333
Ray Charles,Georgia on My Mind,2026-11-01,L,Georgia on My Mind_Ray Charles.mp4,232.39,3.8731666666666666
ABBA,Gimme Gimme Gimme,2026-11-01,L,Gimme Gimme Gimme_ABBA.mp4,196.46,3.2743333333333333
Britney Spears,Gimme More,2026-11-01,L,Gimme More_Britney Spears.mp4,241.0,4.016666666666667
Rolling Stones The,Gimme Shelter,2026-11-01,L,Gimme Shelter_Rolling Stones The.mp4,272.71,4.545166666666666
Abba,Gimme! Gimme! Gimme!,2026-11-01,L,Gimme! Gimme! Gimme!_Abba .mp4,196.54,3.2756666666666665
Alicia Keys,Girl on Fire,2026-11-01,L,Girl on Fire_Alicia Keys.mp4,232.96,3.8826666666666667
Cyndi Lauper,Girls Just Want To Have Fun,2026-11-01,L,Girls Just Want To Have Fun_Cyndi Lauper.mp4,266.83,4.447166666666666
Fleetwood Mac,Go Your Own Way,2026-11-01,L,Go Your Own Way_Fleetwood Mac .mp4,223.88,3.731333333333333
Elton John,Goodbye Yellow Brick Road,2026-11-01,L,Goodbye Yellow Brick Road_Elton John.mp4,192.88,3.2146666666666666
Jeff Buckley,Grace,2026-11-01,L,Grace_Jeff Buckley.mp4,321.42,5.357
Bruno Mars,Grenade,2026-11-01,L,Grenade_Bruno Mars.mp4,220.75,3.6791666666666667
Fleetwood Mac,Gypsy,2026-11-01,L,Gypsy_Fleetwood Mac .mp4,264.96,4.4159999999999995
Jeff Buckley,Hallelujah,2026-11-01,L,Hallelujah_Jeff Buckley.mp4,393.79,6.563166666666667
James Taylor,Handy Man,2026-11-01,L,Handy Man_James Taylor.mp4,196.25,3.2708333333333335
Creedence Clearwater Revival,Have You Ever Seen the Rain,2026-11-01,L,Have You Ever Seen the Rain_Creedence Clearwater Revival .mp4,160.25,2.6708333333333334
Chi‐Lites The,Have You Seen Her,2026-11-01,L,Have You Seen Her_Chi‐Lites The.mp4,305.81,5.0968333333333335
The Hollies,"He Aint Heavy, Hes My Brother",2026-11-01,L,"He Aint Heavy, Hes My Brother_The Hollies.mp4",256.75,4.279166666666667
Blondie,Heart of Glass,2026-11-01,L,Heart of Glass_Blondie .mp4,222.63,3.7105
Neil Young,Heart of Gold,2026-11-01,L,Heart of Gold_Neil Young.mp4,187.25,3.120833333333333
Lionel Richie,Hello,2026-11-01,L,Hello_Lionel Richie.mp4,247.04,4.117333333333333
Beatles The,Here Comes The Sun,2026-11-01,L,Here Comes The Sun_Beatles The.mp4,191.88,3.198
Beatles The,Hey Jude,2026-11-01,L,Hey Jude_Beatles The.mp4,431.42,7.190333333333333
Deep Purple,Highway Star,2026-11-01,L,Highway Star_Deep Purple .mp4,367.42,6.123666666666667
ACDC,Highway to Hell,2026-11-01,L,Highway to Hell_ACDC .mp4,207.13,3.4521666666666664
Shakira,Hips Don't Lie,2026-11-01,L,Hips Don't Lie_Shakira .mp4,218.38,3.6396666666666664
Michael Buble,Home,2026-11-01,L,Home_Michael Buble.mp4,230.5,3.841666666666667
Bobby Goldsboro,Honey,2026-11-01,L,Honey_Bobby Goldsboro.mp4,233.38,3.8896666666666664
Rolling Stones The,Honky Tonk Women,2026-11-01,L,Honky Tonk Women_Rolling Stones The.mp4,182.67,3.0444999999999998
Eagles The,Hotel California,2026-11-01,L,Hotel California_Eagles The.mp4,583.67,9.727833333333333
Elvis Presley,Hound Dog,2026-11-01,L,Hound Dog_Elvis Presley.mp4,134.0,2.2333333333333334
Animals The,House of the Rising Sun,2026-11-01,L,House of the Rising Sun_Animals The.mp4,260.25,4.3375
Bee Gees,How Can You Mend a Broken Heart,2026-11-01,L,How Can You Mend a Broken Heart_Bee Gees .mp4,237.88,3.9646666666666666
Bee Gees,How Deep Is Your Love,2026-11-01,L,How Deep Is Your Love_Bee Gees .mp4,260.79,4.346500000000001
LeAnn Rimes,How Do I Live,2026-11-01,L,How Do I Live_LeAnn Rimes.mp4,270.42,4.507000000000001
Bonnie Raitt,I Can’t Make You Love Me,2026-11-01,L,I Can’t Make You Love Me_Bonnie Raitt.mp4,284.96,4.749333333333333
Rod Stewart,I Don't Want to Talk About It,2026-11-01,L,I Don't Want to Talk About It_Rod Stewart.mp4,290.54,4.842333333333333
Joan Jett and the Blackhearts,I Hate Myself for Loving You,2026-11-01,L,I Hate Myself for Loving You_Joan Jett and the Blackhearts .mp4,257.46,4.2909999999999995
Joan Jett and the Blackhearts,I Love Rock ‘N Roll,2026-11-01,L,I Love Rock ‘N Roll_Joan Jett and the Blackhearts .mp4,179.21,2.9868333333333337
Vanny Vabiola,I Love You,2026-11-01,L,I Love You_Vanny Vabiola.mp4,314.83,5.247166666666667
Bee Gees,I Started A Joke,2026-11-01,L,I Started A Joke_Bee Gees .mp4,189.79,3.1631666666666667
Johnny Cash,I Walk the Line,2026-11-01,L,I Walk the Line_Johnny Cash.mp4,132.33,2.2055000000000002
Backstreet Boys,I Want It That Way,2026-11-01,L,I Want It That Way_Backstreet Boys .mp4,219.38,3.6563333333333334
Foreigner,I Want to Know What Love Is,2026-11-01,L,I Want to Know What Love Is_Foreigner .mp4,290.17,4.836166666666667
Whitney Houston,I Will Always Love You,2026-11-01,L,I Will Always Love You_Whitney Houston.mp4,274.08,4.568
Gloria Gaynor,I Will Survive,2026-11-01,L,I Will Survive_Gloria Gaynor.mp4,194.42,3.240333333333333
Etta James,I'd Rather Go Blind,2026-11-01,L,I'd Rather Go Blind_Etta James.mp4,490.29,8.1715
Puff Daddy & Faith Evans,I'll Be Missing You,2026-11-01,L,I'll Be Missing You_Puff Daddy & Faith Evans .mp4,306.67,5.111166666666667
Celine Dion,I'm Alive,2026-11-01,L,I'm Alive_Celine Dion.mp4,209.88,3.4979999999999998
Shania Twain,I'm Gonna Getcha Good!,2026-11-01,L,I'm Gonna Getcha Good!_Shania Twain.mp4,257.67,4.2945
Britney Spears,"I'm Not A Girl, Not Yet A Woman",2026-11-01,L,"I'm Not A Girl, Not Yet A Woman_Britney Spears.mp4",228.88,3.8146666666666667
Chicago,If You Leave Me Now,2026-11-01,L,If You Leave Me Now_Chicago .mp4,236.29,3.9381666666666666
Bread,If,2026-11-01,L,If_Bread .mp4,153.38,2.5563333333333333
John Lennon,Imagine,2026-11-01,L,Imagine_John Lennon.mp4,193.58,3.2263333333333337
Beatles The,In My Life,2026-11-01,L,In My Life_Beatles The.mp4,147.25,2.4541666666666666
Phil Collins,In The Air Tonight,2026-11-01,L,In The Air Tonight_Phil Collins.mp4,336.67,5.611166666666667
Goo Goo Dolls,Iris,2026-11-01,L,Iris_Goo Goo Dolls.mp4,215.67000000000002,3.5945000000000005
Carole King,It's Too Late,2026-11-01,L,It's Too Late_Carole King.mp4,234.07999999999998,3.901333333333333
Hank Williams,I’m So Lonesome I Could Cry,2026-11-01,L,I’m So Lonesome I Could Cry_Hank Williams.mp4,180.67,3.0111666666666665
Elvis Presley,Jailhouse Rock,2026-11-01,L,Jailhouse Rock_Elvis Presley.mp4,152.29,2.5381666666666667
Bee Gees,Jive Talkin',2026-11-01,L,Jive Talkin'_Bee Gees .mp4,170.79,2.8465
Chuck Berry,Johnny B. Goode,2026-11-01,L,Johnny B. Goode_Chuck Berry.mp4,162.59,2.7098333333333335
Uriah Heep,July Morning,2026-11-01,L,July Morning_Uriah Heep.mp4,634.97,10.582833333333333
Rolling Stones The,Jumpin’ Jack Flash,2026-11-01,L,Jumpin’ Jack Flash_Rolling Stones The.mp4,225.54,3.759
Lady Gaga,Just Dance,2026-11-01,L,Just Dance_Lady Gaga.mp4,252.66,4.211
P!nk,Just Give Me A Reason,2026-11-01,L,Just Give Me A Reason_P!nk .mp4,242.67,4.0445
Bruno Mars,Just The Way You Are,2026-11-01,L,Just The Way You Are_Bruno Mars.mp4,236.82999999999998,3.9471666666666665
Randy Vanwarmer,Just When I Needed You Most,2026-11-01,L,Just When I Needed You Most_Randy Vanwarmer.mp4,241.75,4.029166666666667
Culture Club,Karma Chameleon,2026-11-01,L,Karma Chameleon_Culture Club .mp4,238.5,3.975
Led Zeppelin,Kashmir,2026-11-01,L,Kashmir_Led Zeppelin .mp4,514.79,8.579833333333333
Roberta Flack,Killing Me Softly With His Song,2026-11-01,L,Killing Me Softly With His Song_Roberta Flack.mp4,277.67,4.627833333333333
Bob Dylan,Knockin’ on Heaven’s Door,2026-11-01,L,Knockin’ on Heaven’s Door_Bob Dylan.mp4,151.54,2.5256666666666665
Fleetwood Mac,Landslide,2026-11-01,L,Landslide_Fleetwood Mac .mp4,197.46,3.291
Wham,Last Christmas,2026-11-01,L,Last Christmas_Wham .mp4,278.5,4.641666666666667
Major Lazer,Lean On,2026-11-01,L,Lean On_Major Lazer.mp4,178.94,2.9823333333333335
Passenger,Let Her Go,2026-11-01,L,Let Her Go_Passenger .mp4,254.29,4.238166666666666
Beatles The,Let It Be,2026-11-01,L,Let It Be_Beatles The.mp4,243.08,4.051333333333334
DJ Snake,Let Me Love You,2026-11-01,L,Let Me Love You_DJ Snake .mp4,205.5,3.425
Dua Lipa,Levitating,2026-11-01,L,Levitating_Dua Lipa.mp4,202.07999999999998,3.368
Dido,Life for Rent,2026-11-01,L,Life for Rent_Dido .mp4,221.21,3.6868333333333334
Madonna,Like A Prayer,2026-11-01,L,Like A Prayer_Madonna .mp4,337.58,5.626333333333333
Bob Dylan,Like a Rolling Stone,2026-11-01,L,Like a Rolling Stone_Bob Dylan.mp4,369.83,6.163833333333333
Cranberries The,Linger,2026-11-01,L,Linger_Cranberries The.mp4,277.46,4.624333333333333
Jimi Hendrix Experience The,Little Wing,2026-11-01,L,Little Wing_Jimi Hendrix Experience The.mp4,146.54,2.442333333333333
Bon Jovi,Livin' On A Prayer,2026-11-01,L,Livin' On A Prayer_Bon Jovi .mp4,248.88,4.148
Dan Fogelberg,Longer,2026-11-01,L,Longer_Dan Fogelberg.mp4,193.72,3.228666666666667
Eminem,Lose Yourself,2026-11-01,L,Lose Yourself_Eminem.mp4,328.33,5.472166666666666
Michael Kiwanuka,Love and Hate,2026-11-01,L,Love and Hate_Michael Kiwanuka.mp4,427.17,7.1195
WET WET WET,Love Is All Around,2026-11-01,L,Love Is All Around_WET WET WET .mp4,254.75,4.245833333333334
Ellie Goulding,Love Me Like You Do,2026-11-01,L,Love Me Like You Do_Ellie Goulding.mp4,249.33,4.1555
Taylor Swift,Love Story,2026-11-01,L,Love Story_Taylor Swift.mp4,240.54,4.0089999999999995
Avril Lavigne,Love Will Find You,2026-11-01,L,Love Will Find You_Avril Lavigne.mp4,314.46,5.241
Billie Eilish,lovely,2026-11-01,L,lovely_Billie Eilish.mp4,200.54,3.3423333333333334
Taylor Swift,Lover,2026-11-01,L,Lover_Taylor Swift.mp4,238.29,3.9715
Flo Rida,Low,2026-11-01,L,Low_Flo Rida.mp4,229.97,3.8328333333333333
Eagles The,Lyin' Eyes,2026-11-01,L,Lyin' Eyes_Eagles The.mp4,377.88,6.298
Rod Stewart,Maggie May,2026-11-01,L,Maggie May_Rod Stewart.mp4,345.75,5.7625
Bread,Make It With You,2026-11-01,L,Make It With You_Bread .mp4,198.5,3.308333333333333
Michael Jackson,Man In The Mirror,2026-11-01,L,Man In The Mirror_Michael Jackson.mp4,303.71,5.061833333333333
Shania Twain,Man! I Feel Like A Woman!,2026-11-01,L,Man! I Feel Like A Woman!_Shania Twain.mp4,235.01,3.9168333333333334
Daryl Hall,Maneater,2026-11-01,L,Maneater_Daryl Hall.mp4,264.75,4.4125
Julio Iglesias,Manuela,2026-11-01,L,Manuela_Julio Iglesias.mp4,217.38,3.6229999999999998
Bee Gees,Massachusetts,2026-11-01,L,Massachusetts_Bee Gees .mp4,174.13,2.9021666666666666
Janis Joplin,Me and Bobby McGee,2026-11-01,L,Me and Bobby McGee_Janis Joplin.mp4,270.63,4.5104999999999995
Wang Luo Ge Shou,Mei Chu Xi (CN),2026-11-01,L,Mei Chu Xi (CN)_Wang Luo Ge Shou.mp4,166.32999999999998,2.7721666666666662
Maroon 5,Memories,2026-11-01,L,Memories_Maroon 5 .mp4,195.25,3.254166666666667
Lady Gaga,Million Reasons,2026-11-01,L,Million Reasons_Lady Gaga.mp4,252.25,4.204166666666667
Eminem,Mockingbird,2026-11-01,L,Mockingbird_Eminem.mp4,257.96,4.299333333333333
Dana Winner,Moonlight Shadow,2026-11-01,L,Moonlight Shadow_Dana Winner.mp4,266.0,4.433333333333334
Extreme,More Than Words,2026-11-01,L,More Than Words_Extreme .mp4,255.63,4.2604999999999995
Bob Dylan,Mr. Tambourine Man,2026-11-01,L,Mr. Tambourine Man_Bob Dylan.mp4,332.13,5.5355
Celine Dion,My Heart Will Go On,2026-11-01,L,My Heart Will Go On_Celine Dion.mp4,280.54,4.675666666666667
Billy Preston,My Sweet Lord,2026-11-01,L,My Sweet Lord_Billy Preston.mp4,304.04,5.067333333333334
George Harrison,My Sweet Lord,2026-11-01,L,My Sweet Lord_George Harrison.mp4,432.08,7.201333333333333
Frank Sinatra,My Way,2026-11-01,L,My Way_Frank Sinatra.mp4,256.08,4.268
Antebellum Lady,Need You Now,2026-11-01,L,Need You Now_Antebellum Lady.mp4,271.21,4.520166666666666
INXS,Never Tear Us Apart,2026-11-01,L,Never Tear Us Apart_INXS .mp4,231.07999999999998,3.8513333333333333
Linkin Park,New Divide,2026-11-01,L,New Divide_Linkin Park .mp4,268.04,4.467333333333333
Dua Lipa,New Rules,2026-11-01,L,New Rules_Dua Lipa.mp4,224.38,3.7396666666666665
Bee Gees,Night Fever,2026-11-01,L,Night Fever_Bee Gees .mp4,208.82999999999998,3.4804999999999997
Elton John,Nikita,2026-11-01,L,Nikita_Elton John.mp4,292.58,4.876333333333333
Bob Marley and the Wailers,"No Woman, No Cry",2026-11-01,L,"No Woman, No Cry_Bob Marley and the Wailers .mp4",413.38,6.889666666666667
Sinead O’Connor,Nothing Compares 2 U,2026-11-01,L,Nothing Compares 2 U_Sinead O’Connor.mp4,308.21,5.136833333333333
Starship,Nothing's Gonna Stop Us Now,2026-11-01,L,Nothing's Gonna Stop Us Now_Starship .mp4,267.75,4.4625
Guns n’ Roses,November Rain,2026-11-01,L,November Rain_Guns n’ Roses .mp4,556.92,9.282
Linkin Park,Numb,2026-11-01,L,Numb_Linkin Park .mp4,187.25,3.120833333333333
Bobbie Gentry,Ode to Billie Joe,2026-11-01,L,Ode to Billie Joe_Bobbie Gentry.mp4,254.13,4.2355
Eric Clapton,Old Love,2026-11-01,L,Old Love_Eric Clapton.mp4,384.58,6.409666666666666
Jennifer Lopez,On the Floor,2026-11-01,L,On the Floor_Jennifer Lopez.mp4,266.5,4.441666666666666
Dana Winner,One Moment In Time,2026-11-01,L,One Moment In Time_Dana Winner.mp4,309.29,5.154833333333333
Linkin Park,One More Light,2026-11-01,L,One More Light_Linkin Park .mp4,255.21,4.2535
Maroon 5,One More Night,2026-11-01,L,One More Night_Maroon 5 .mp4,223.13,3.7188333333333334
Murray Head,One Night In Bangkok,2026-11-01,L,One Night In Bangkok_Murray Head.mp4,236.82999999999998,3.9471666666666665
U2,One,2026-11-01,L,One_U2 .mp4,280.08,4.668
